trial,response_type,response_time,feedback_time,feedback_type,reaction_time,reaction_type
1,1.0,1.109700742084641,1.1474268096570484,1.0,550.0,1.0
2,1.0,1.0106728713712343,1.0106728713712343,-1.0,860.0,1.0
3,1.0,0.7085111700034759,0.7085111700034759,-1.0,570.0,1.0
4,0.0,2.486491405786289,2.5200784256773474,1.0,inf,0.0
5,1.0,0.751719604942366,0.751719604942366,-1.0,620.0,1.0
6,0.0,2.231773704153852,2.2658909046516555,1.0,inf,0.0
7,1.0,0.8493235459699946,0.8493235459699946,-1.0,330.0,1.0
8,1.0,0.9272641548085688,0.964452054850412,1.0,740.0,1.0
9,1.0,0.6923646455880998,0.6923646455880998,-1.0,240.0,1.0
10,1.0,0.903304581761148,0.9408590366390116,1.0,300.0,1.0
11,1.0,0.9424516321902132,0.9424516321902132,-1.0,740.0,1.0
12,1.0,1.0276797307140413,1.0276797307140413,-1.0,810.0,1.0
13,0.0,2.5258911230020686,2.559200492253666,1.0,810.0,1.0
14,1.0,0.9996300952191746,0.9996300952191746,-1.0,880.0,1.0
15,0.0,2.5964678686654,2.630239820800071,1.0,710.0,1.0
16,1.0,1.038939854643374,1.038939854643374,-1.0,240.0,1.0
17,1.0,1.0759098048969378,1.0759098048969378,-1.0,290.0,1.0
18,-1.0,1.29816631504103,1.3348469677883372,1.0,760.0,1.0
19,1.0,0.8718999418870652,0.9089259384765,1.0,240.0,1.0
20,-1.0,1.0083907197681017,1.04458755035094,1.0,270.0,-1.0
21,1.0,0.6442610556738373,0.6814241552300757,1.0,230.0,1.0
22,-1.0,0.9733998416854774,1.0101252487239665,1.0,280.0,1.0
23,-1.0,1.1508772773301246,1.1871420248330935,1.0,200.0,1.0
24,-1.0,1.677464438494752,1.677464438494752,-1.0,740.0,1.0
25,-1.0,0.9786521109667774,0.9786521109667774,-1.0,690.0,-1.0
26,-1.0,1.0312632520622742,1.0312632520622742,-1.0,890.0,-1.0
27,0.0,2.552206806323796,2.5868239485423885,1.0,inf,0.0
28,1.0,1.0088248115306158,1.045497663449737,1.0,240.0,1.0
29,-1.0,1.1431713931939953,1.1794165064141282,1.0,800.0,1.0
30,1.0,1.005071034398327,1.005071034398327,-1.0,630.0,1.0
31,-1.0,1.013307307468068,1.0492184531430553,1.0,340.0,-1.0
32,1.0,0.7883282145787405,0.8247215820609597,1.0,350.0,1.0
33,1.0,1.0075823068206944,1.0075823068206944,-1.0,770.0,1.0
34,-1.0,1.008437811761297,1.008437811761297,-1.0,520.0,-1.0
35,-1.0,1.2013876918565245,1.2013876918565245,-1.0,190.0,-1.0
36,1.0,0.7613707516908619,0.7613707516908619,-1.0,630.0,1.0
37,-1.0,1.2761212136001063,1.2761212136001063,-1.0,770.0,1.0
38,-1.0,1.044163445987067,1.044163445987067,-1.0,860.0,-1.0
39,1.0,2.390576136256413,2.390576136256413,-1.0,inf,0.0
40,0.0,2.2169318701359373,2.2516081624090702,1.0,inf,0.0
41,-1.0,0.7516154592318571,0.7516154592318571,-1.0,250.0,-1.0
42,1.0,0.6079443562779261,0.6435482686579519,1.0,270.0,1.0
43,-1.0,0.7512686083423716,0.7512686083423716,-1.0,370.0,-1.0
44,-1.0,0.5817584779352671,0.6169730605158179,1.0,260.0,-1.0
45,-1.0,0.920315667356988,0.920315667356988,-1.0,250.0,-1.0
46,0.0,2.401653929551032,2.437230495067724,1.0,inf,0.0
47,1.0,0.6568759807209972,0.6923001762322656,1.0,430.0,1.0
48,0.0,2.267589899963184,2.303489567994774,1.0,180.0,-1.0
49,0.0,2.30152603757486,2.3357866600793784,1.0,inf,0.0
50,1.0,0.9574084794181204,0.9936529283875188,1.0,840.0,1.0
51,1.0,1.1197968479205542,1.1197968479205542,-1.0,830.0,1.0
52,0.0,2.3345864448724,2.370203038052182,1.0,inf,0.0
53,-1.0,0.6994308630517594,0.7351005454589199,1.0,240.0,-1.0
54,-1.0,0.8574746911186253,0.8574746911186253,-1.0,200.0,-1.0
55,-1.0,0.9440267998125478,0.9794122685570984,1.0,710.0,-1.0
56,1.0,1.0785771449515664,1.1143158061098577,1.0,260.0,1.0
57,0.0,2.4123770233585446,2.4478420599239143,1.0,920.0,-1.0
58,-1.0,0.8926201275572225,0.927666877337856,1.0,320.0,-1.0
59,-1.0,1.080382942727624,1.080382942727624,-1.0,880.0,-1.0
60,0.0,2.464575505532423,2.5006286067524,1.0,inf,0.0
61,-1.0,0.9099466692446754,0.9099466692446754,-1.0,710.0,-1.0
62,0.0,2.376054286449971,2.4116318359887146,1.0,inf,0.0
63,1.0,1.1260033343069722,1.1626748346530462,1.0,220.0,1.0
64,-1.0,1.1342030808414163,1.1342030808414163,-1.0,860.0,-1.0
65,0.0,2.399359401230356,2.434080127708171,1.0,inf,0.0
66,1.0,0.6850629679257167,0.7209256215170399,1.0,250.0,1.0
67,1.0,2.19603327815895,2.19603327815895,-1.0,inf,0.0
68,0.0,2.5910275332200285,2.626488929725781,1.0,inf,0.0
69,-1.0,0.9974206947614448,1.0332211779036695,1.0,220.0,-1.0
70,-1.0,0.6471807607647406,0.683770375607935,1.0,290.0,-1.0
71,-1.0,0.8299415584470466,0.86570343432345,1.0,580.0,-1.0
72,-1.0,1.0293502897902729,1.0293502897902729,-1.0,750.0,-1.0
73,0.0,2.345313764816524,2.381616361108229,1.0,inf,0.0
74,1.0,0.5802968141302358,0.6158866081627821,1.0,440.0,1.0
75,-1.0,0.8759332524259094,0.9113646301423728,1.0,190.0,-1.0
76,-1.0,0.9731018941070032,0.9731018941070032,-1.0,230.0,-1.0
77,-1.0,0.5514852539473054,0.5863944653091835,1.0,240.0,-1.0
78,1.0,1.2273803721230934,1.2661217642796032,1.0,260.0,1.0
79,0.0,2.374161247742677,2.4104213610343663,1.0,790.0,-1.0
80,-1.0,0.799035611016393,0.8355981084011432,1.0,310.0,-1.0
